CV1 (voltage),CV2 (voltage),Flow 1 (LPH),Flow 2 (LPH),Level 1 (mm),Level 2 (mm),Time (sec)
5.199999809,5.199999809,260.421936,255.6441345,188.1986694,167.2614746,68.6
5.199999809,5.199999809,260.2424622,255.7338257,188.2958679,167.3392639,68.8
5.199999809,5.199999809,260.2200623,255.5992432,188.3347778,167.3198242,69
5.199999809,5.199999809,260.1976318,255.7113953,193.5058899,167.397583,69.2
5.199999809,5.199999809,260.5565186,255.8011169,193.4475403,167.2614746,69.4
5.199999809,5.199999809,260.5565186,255.5992432,193.5253296,167.3198242,69.6
5.199999809,5.199999809,260.2424622,255.7562866,193.4864502,167.3198242,69.8
5.199999809,5.199999809,260.3097839,255.8908691,193.369812,167.2226257,70
5.199999809,5.199999809,260.3097839,255.7338257,193.4086914,167.3003845,70.2
5.199999809,5.199999809,260.2200623,255.4646301,193.4670105,167.3781128,70.4
5.199999809,5.199999809,260.1752014,255.3300476,193.369812,167.203186,70.6
5.199999809,5.199999809,260.1976318,255.7562866,193.4281311,167.397583,70.8
5.199999809,5.199999809,260.3322144,255.5544128,193.4281311,167.2809143,71
5.199999809,5.199999809,260.3995056,255.6441345,193.5058899,167.3003845,71.2
5.199999809,5.199999809,260.6462402,255.7338257,193.4475403,167.3003845,71.4
5.199999809,5.199999809,260.3097839,255.6889648,193.5058899,167.397583,71.6
5.199999809,5.199999809,259.569519,255.6665649,193.4281311,167.2809143,71.8
5.199999809,5.199999809,259.3227844,255.7562866,193.5253296,167.3586731,72
5.199999809,5.199999809,259.3227844,255.6889648,193.5058899,167.3586731,72.2
5.199999809,5.199999809,259.1433411,255.4646301,193.4475403,167.2614746,72.4
5.199999809,5.199999809,259.2779541,255.7338257,193.3892517,167.3003845,72.6
5.199999809,5.199999809,259.3676453,255.7562866,193.4864502,167.3781128,72.8
5.199999809,5.199999809,259.3676453,255.6889648,193.4864502,167.3781128,73
5.199999809,5.199999809,260.3097839,255.7562866,193.5253296,167.3586731,73.2
5.199999809,5.199999809,260.3097839,255.778717,193.5253296,167.3198242,73.4
5.199999809,5.199999809,260.421936,255.8011169,193.369812,167.3586731,73.6
5.199999809,5.199999809,260.3322144,255.7562866,193.5058899,167.3198242,73.8
5.199999809,5.199999809,260.2649231,255.6441345,193.4281311,167.3003845,74
5.199999809,5.199999809,260.3097839,255.778717,193.4864502,167.3392639,74.2
5.199999809,5.199999809,260.3995056,255.6889648,193.5058899,167.4170227,74.4
5.199999809,5.199999809,260.421936,255.913269,193.4475403,167.4170227,74.6
5.199999809,5.199999809,260.3546143,255.7562866,193.5058899,167.397583,74.8
5.199999809,5.199999809,260.3097839,255.6216736,193.4864502,167.397583,75
5.199999809,5.199999809,260.2424622,255.6216736,193.4864502,167.397583,75.2
